Название вакансии,Описание вакансии,Заработная плата,Дата публикации,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Разработчик BI,"Чем предстоит заниматься:  Анализ данных; Подготовка регламентной BI отчётности; Участие в разработке внутреннего ХД; Популяризация BI отчётности; Автоматизация аналитики.  Наши пожелания к кандидату:  Хорошее знание возможностей BI систем; Опыт разработки отчётности в Apache Superset; Знание ClickHouse и PostgreSQL; Знание Jinja Template; Знание MS Power BI, навыки администрирования BI сервера.  Мы предлагаем:  Официальное оформление в штат компании; Стабильный и прозрачный доход: оклад и премия по результатам работы; График работы: 5/2, удалённая работа; Личностное развитие и карьерный рост: корпоративная электронная библиотека, возможность прохождения бесплатного обучения и тренингов; Индивидуальную материальную помощь (компенсация процентов по ипотечному кредиту, дополнительные социальные льготы); Программу корпоративных скидок и привилегий: интернет, ТВ, сотовая связь, скидки от компаний-партнёров (отдых, покупки, обучение, спорт); Заботу о здоровье сотрудников: программа ДМС.  Стек технологий: Apache Superset, Power BI, Excel, Dbeaver, Jira, Confluence.",0,2024-02-26 00:00:00 +0700 +07,Москва,Ростелеком,Apache Superset;Microsoft Power BI;Microsoft Power BI;SQL,1-3,Удаленная работа
Аналитик в Управление цифровой логистики,"Обязанности:  Осуществление сбора, анализа и систематизации информации для разработки, поддержания и развития аналитических и информационных отчётов и систем Участие в разработке мероприятий по достижению целевых показателей производственных и обеспечивающих процессов Бизнес-анализ процессов и формирование технических заданий по доработкам/разработкам IT-решений, в том числе интеграции систем Участие в проектах развития логистики, в том числе по новым решениям и сопровождению работы по цифровым продуктам Формирование технических заданий с аналитикой рынка и сбор пакета документов для закупки услуг Разработка показателей и аналитические расчёты Выполнение служебных поручения руководителя в рамках своего направления Осуществление разработки/ актуализации нормативно-методических документов в пределах своей компетенции.  Требования: Обязательно:  Продвинутый пользователь Excel, Word, Power Point Способность работать в режиме многозадачности Работа с дашбордами, преимущественно с back-частью Работа с аналитическими расчётами Умение выстраивать коммуникации Работа с отчетами и витринами данных из SAP, 1С  Высшее образование логистическое/техническое/экономическое   Желательно:  Опыт работы в сфере производственной, складской логистики или управления запасами, понимание процессов планирования и прогнозирования Понимание процессов закупки Понимание процессов Web-разработки приложений SQL-запросы, Python (pandas) Понимание ETL-процесса  Качества:  Системный подход к решению задач Нестандартное мышление Исполнительность Аналитический склад ума  Условия:  Работа в стабильной, динамично развивающейся компании Оформление по ТК Возможны периодические командировки Профессиональный рост Социальный пакет (ДМС со стоматологией др.) Территориально: Новая Голландия, Цифергауз ",0,2024-02-13 00:00:00 +0700 +07,Санкт-Петербург,Газпром нефть,Microsoft Power BI;Microsoft PowerPoint;Microsoft SQL Server;Microsoft Power BI;Python;SQL;Анализ данных;Аналитическое мышление;Управление базами данных;Создание презентационных материалов;Управление базами данных;Информационная грамотность,3-6,Полный день
Аналитик данных,Необходим аналитик данных который поможет погрузить нашу компанию в Big data Работа может быть почасовой или сдельной. Пока мы не понимаем как можно аналитика использовать на фулл тайм Обязанности:  Помочь разобраться с нашими данными которые влияют на доход.  Показать какие инструменты нужно использовать Помочь интегрировать бэк программистам некоторые наши продукты через апи в сервисы аналитики данных  Основные данные - это финансовые транзакции(сотни тысяч записей) и интересует анализ интернет трафика Например Задачка: Хочется видеть как изменилось количество ошибок с кодом 503 и успешных 200 ответов. как изменялась динамика по дням этих ошибок и по месяцам после того как был введен новый тариф с суммой 400 рублей и как он повлиял на другие платежи.​​​​​​ Условия:  Сдельная или почасовая оплата на ваших условиях. ,400000,2024-02-13 00:00:00 +0700 +07,Москва,Однокозов Антон,,6-,Удаленная работа
ГИС-аналитик,"Обязанности:  создание нейросетевых моделей семантической сегментации объектов; анализ динамики и визуализация данных на основе космической съемки; разработка геоинформационных систем и прикладного программного обеспечения; распознавание объектов на спутниковых снимках с помощью нейросетей; проведение геопространственного анализа; создание аналитических картограмм.  Требования:  профильное образование по картографии, геоинформатике, информатике, прикладной космонавтике и фотограмметрии; понимание рабочих процессов дистанционного зондирования земли и геопространственного анализа; знания QGIS, ArcGIS, Earth Engine; Python, SQL, PostgreSQL, JavaScript, Big Data, Машинное обучение.  Дополнительные требования и пожелания:  патриот; коммуникабельный; быстро обучаемый; обязательный профильный опыт работы от 3-х лет; опыт работы в компаниях, специализирующихся на геопространственных данных и ДЗЗ; английский язык A2 или выше.  Условия:  работа на территории ОЭЗ «Алабуга» (требуется переезд); работа в крупной и стабильной компании – в структуре самой большой ОЭЗ в Европе; транспорт до работы из г. Елабуга, г. Набережные Челны, г. Менделеевск; график работы: 5/2, с 08:00 до 17:00; оплачиваемые отпуска и больничные. ",300000,2024-02-13 00:00:00 +0700 +07,Пермский край,"Алабуга, ОЭЗ ППТ",,3-6,Полный день
Консультант по внедрению НСИ (нормализации данных) / стажер,"Приглашаем начинающих специалистов - консультантов по внедрению НСИ (нормативно-справочной информации) пройти 2-х недельное обучение в крупной IT-компании, лидере в области IT-консалтинга и разработки в России, с возможностью последующего трудоустройства в штат компании. Старт обучения - 1 марта 2024г. Обучение будет проходить в онлайн формате в ZOOM, будние дни - вечер, выходные - утро.   Обязанности:  Настройка систем MDM; Работа с платформой 1С; Отрисовка схем бизнес-процессов; Разработка шаблонов; Разработка документации; Участие в интервью заказчика; Ведение протоколов встреч; Нормализация данных.    Требования:  Высшее техническое оконченное образование: электротехника, электромеханика, автоматизация процессов, инженерия, математика, информатика и пр.; Опыт работы не обязателен, мы проводим предварительное обучение; Умение вычленять информацию, группировать, исследовать; Знание программы MS Excel на уровне продвинутого пользователя; Готовность пройти небольшой тест по логике, по программе MS Excel.    Условия после прохождения обучения, при трудоустройстве:  Работа в аккредитованной ИТ-компании с более чем 30-летним опытом реализации тысяч проектов; Вы сможете участвовать в проектах для крупных известных коммерческих компаний; Для Вашего роста мы будем использовать современный подход в обучении и развитии (опытный наставник, множество бесплатных курсов для повышения квалификации); Вы будете членом сильной команды экспертов и иметь возможность обмениваться опытом с коллегами по всей России; Вам не нужно использовать свое оборудование, мы обеспечим Вас всей необходимой техникой (ноутбук, второй экран, гарнитура и тд.). Мы не только хорошо работаем, но и весело отдыхаем. Вы сможете найти себе мероприятия по вкусу и участвовать в них по желанию: неформальные мероприятия, интеллектуальные игры, собственная Киберлига, возможность заниматься волонтерской деятельностью и благотворительностью, творческие вечера и другое. Вы будете получать всестороннюю заботу от компании: ДМС со стоматологией, страхование жизни, программа онкострахования, скидки на медицину для родственников и детей (до 80%), материальная поддержка в особых случаях, обучение и сертификация, скидки на курсы, фитнес и многое другое.      Дополнительно:  Длительность обучения: 2 недели с ПН по ПТ в онлайн формате по вечерам (с 20:00 до 21:00); В случае трудоустройства формат работы на испытательном сроке - офисный, после испытательного срока - гибридный; График работы при трудоустройстве: с ПН по ПТ; начало дня гибкое - с 9:30 до 10:00; завершение в 18:30 или в 19:00; Уровень заработной платы озвучивается на телефонном интервью.      Как проходят этапы собеседований:  Присылаете резюме на сайте HH; Участвуете в телефонном интервью с рекрутером (10-15 минут); Проходите тест по ссылке: по логике и по MS Excel (не более 1 часа); Проходите финальное интервью в ZOOM (не более 30 минут).    В случае положительного рассмотрения резюме, с вами свяжется специалист в течение 3 рабочих дней.",0,2024-02-08 00:00:00 +0700 +07,Пермский край,IBS,1С: ERP;Microsoft Excel;Анализ данных;Аналитическое мышление,0,Полный день
Стажер-аналитик Big Data,"Компания IBS, ключевой технологический партнер лидеров российского бизнеса, приглашает на стажировку начинающих специалистов и выпускников ВУЗов. Ваши задачи:   пройти четырехнедельное бесплатное обучение от лучших экспертов в области реализации современных комплексных хранилищ данных (обучение в формате видео лекций и онлайн встреч с экспертами по вечерам и в выходные, самостоятельное выполнение практических заданий);   получить реальный опыт аналитики в области Big Data;   участие в разработке методологической и системной документации в части интеграционного взаимодействия ETL, проектирования моделей данных;   работать под руководством опытного наставника в реальных проектах для крупнейших российских клиентов.   Наши ожидания:  высшее IT образование или последний курс по специальностям «Бизнес информатика» или «Прикладная математика и информатика» или другой IT профиль, где были предметы по аналитике, программированию баз данных и другим направлениям IT; знание SQL и нотаций BPMN; знание Excel; системное мышление и аналитический склад ума; желание развиваться в области системной аналитики.  Мы предлагаем:  зачисление в штат компании по результатам успешного обучения; возможность роста от стажера до ведущего аналитика и архитектора систем; уникальный опыт в реализации крупных проектов; возможность работать в офисе или гибрид; работу в молодой и профессиональной команде. ",0,2024-02-08 00:00:00 +0700 +07,Пермский край,IBS,BPMN;Microsoft Access;Microsoft PowerPoint;Python;SQL,0,Полный день
Технолог данных,"Mediascope – исследовательская компания, которая работает на стыке медиа и IТ. Мы анализируем аудиторию телевидения, интернета, радио и прессы, поставляем данные и создаем уникальные аналитические продукты, которыми пользуются российские медиа, рекламные агентства и компании-рекламодатели. Наша задача – создавать и поддерживать индустриальные стандарты работы с данными на рынке медиа и рекламы, а также развивать медиаисследования в России. Мы являемся аккредитованной IТ-компанией и входим в ТОП – 25 работодателей России в категории &quot;средние компании&quot; по версии рейтинга hh.ru Стек технологий, с которым работаем: CI: GitLab CIBigData: arflow, zeppelin, jupiterhub, hadoop, spark/pyspark/spark-sql Команда, в которой предстоит работать: Ищем коллегу в Сектор управления технологиями. В отделе есть три команды, которые имеет разное направление работы от проджект менеджмента до тестирования и приемки технологических решений. Руководителем будущего коллеги будет руководитель сектора. Чем предстоит заниматься:  Работа с данными существующих DWH: отчеты, выверка, прототипы, визуализация Проектирование модели данных в Enterprise Architect Проектирование трансформаций данных: прототипирование в zeppelin / jupyter notebooks, описание в confluence Проектирование схем операций над данными в confluence Верификация полученных результатов Сопровождение релизов  Что для этого потребуется:  SQL на продвинутом уровне. Опыт проектирования DWH: сущности, нормализация, связи, партиципирование Знание концепции разделения слоев данных в BIG Data Data Flow Diagram Практика Python на продвинутом уровне: Zeppelin / Jupyter notebooks Библиотеки: pandas, numpy, pyspark, Altair Извлечение \ загрузка данных в \ из разных источников Написание логики для прототипирования транзакций (преобразований) данных Формирование отчетов на базе сырья из Hadoop на Spark  Мы предоставим комфортные условия для работы:  Возможность выбирать формат работы – офис, удаленка, гибрид Официальное оформление, гарантируем соблюдения трудового кодекса РФ Расширенная медицинская страховка (включая стоматологию) Используем современный стек технологий и открыты к внедрению новых инструментов Мы умеем быстро подстраиваться под изменения, и у нас внутри гибкие процессы Наши заказчики – крупные компании на российском медиарынке, у нас разные проекты от значимых до очень значимых  Наши преимущества:  Выделенный наставник с первых дней работы: мы понимаем, что новая компания - всегда стресс, поэтому у нас новичкам помогают старшие коллеги. Внутренние комьюнити: 2 трека внутренних метопов для аналитиков и инженеров; возможность выступать как спикер или приходить на выступления других коллег в качестве слушателя Карьерный рост: при хороших результатах работы вы быстро двигаетесь по карьерному треку Уникальная корпоративная культура, ориентированная на людей. Для нас важен каждый коллега, мы всегда открыты к диалогу и любым вопросам сотрудников. ",0,2024-02-08 00:00:00 +0700 +07,Москва,Mediascope,DWH;Python;SQL,3-6,Полный день
"Начальник отдела анализа и планирования, Розничный блок","Обязанности:   Ежегодное формирование бюджета, ежеквартальная актуализация бюджета, декомпозиция бюджета по офисам;   Контроль бюджета;   Ежемесячная актуализация прогнозов;   Расчет бизнес кейсов проектов/продуктов;   Автоматизация процесса сбора, обработки и анализа информации для целей управления продуктами;   Анализ, в том числе факторный, исполнения бюджета;   Формирование дашбордов.   Требования:   Экономическое/математическое образование;   Опыт работы преимущественно в банковском или финансовом секторе (работа в финансовом подразделении в банке или бизнес подразделении с бюджетами и финансовыми отчетами);   Знание методик финансово-экономического анализа, бюджетирования, стратегического планирования;   Навыки организации бизнес-процессов и управления;   Уверенный пользовать MS Excel.   Условия:  Официальное трудоустройство по ТК РФ, &quot;белая&quot; заработная плата; Рабочий день с 9.00 - 18.00 с пн - пт (сб, вс - выходные); Дружелюбный и отзывчивый коллектив; Рассматриваем кандидатов также из других регионов удаленно; Специальные условия для сотрудников на продукты и услуги Банка. ",0,2024-02-08 00:00:00 +0700 +07,Пермский край,КБ Урал ФД,Анализ данных;Ведение отчетности;Ведение управленческой отчетности,3-6,Полный день
Аналитик данных (BI)/Системный аналитик,"SOKOLOV – частный ювелирный холдинг с 30-летней историей, объединяющий крупнейший в Европе производственный комплекс, входящую в топ-3 лидеров рынка федеральную розничную сеть, интернет-магазин, развитую оптовую дистрибуцию и пул франчайзи. Бренд SOKOLOV представлен в России, СНГ и Китае.Сейчас наша IT-команда &quot;Аналитические проекты&quot; в поисках Аналитика данных. Нам нужен коллега, способный помочь команде вывести отчетность на новый уровень! ПРИОРИТЕТНЫЕ ЗАДАЧИ СЕЙЧАС:  Разработка/доработка OLAP кубов и подготовка для них витрин данных (стык SSAS и GreenPlum); Интеграция OLAP-кубов с СУБД Greenplum; Доработка и оптимизация существующей отчетности; Участие во внедрении новых BI решений; Работа с заказчиками из смежных подразделений.  МЫ ОБЕСПЕЧИМ ВСЕ НЕОБХОДИМЫЕ УСЛОВИЯ ДЛЯ РАБОТЫ:  Трудоустройство в аккредитованную ИТ-компанию (льготная ипотека, отсрочка и т.д.); Предоставляем для работы корпоративный ноутбук и дополнительные комплектующие при необходимости; Удаленный формат работы. Если хочется общения с коллегами – организуем коворкинг в твоем городе (в Москве, Самаре, Ярославле, Костроме площадки уже есть); Расскажем как, и поможем прокачаться в части hard- и soft-skills; Достойный уровень заработной платы с возможностью ее регулярного пересмотра.  ТЫ НАШ ИДЕАЛЬНЫЙ КАНДИДАТ, ЕСЛИ У ТЕБЯ ЕСТЬ:  Уверенные знания SQL; Опыт работы с Power BI и опыт его администрирования; Опыт разработки OLAP кубов, понимание DAX; Опыт работы с API; Понимание особенностей микросервисной архитектуры; Опыт проектирования микросервисов с нуля (интеграции, БД, логика работы); Знания реляционных баз данных; Знание Python для работы с данными; Опыт работы с GreenPlum (если нет, то научим); Готовность первые две рабочие недели провести в офисе с командой, в нашем Центре разработки (г. Кострома). Проезд, проживание, командировочные оплачиваются.   ",0,2024-02-05 00:00:00 +0700 +07,Москва,SOKOLOV,Разработка BI;DAX;SQL;Microsoft SQL Server;Управление базами данных,1-3,Удаленная работа
NLP Data Scientist,"ФГАНУ ЦИТиС — аккредитованная IT-компания, которая занимается научными исследованиями и разработками в области технических наук. На данный момент ищем кандидата на вакансию NLP Data Scientist для усиления команды. ✅Стек : Python, Docker, SQL, NLP ✅Офис. Обязанности:  Построение, обучение и валидация моделей машинного обучения (в большинстве - NLP моделей); Работа с большим объемом текстовых данных Сопровождение разработанных проектов.  Требования:  Уверенное знание Python и базовых библиотек. Знание математического анализа, линейной алгебры, теории вероятности и математической статистики; Знание принципов и методов построения NLP моделей Уверенное знание библиотек для анализа данных и алгоритмов машинного обучения (pandas, numpy, matplotlib, sklearn) Знание и использование фреймворков глубокого обучения (pytorch/tensorflow); Знание и опыт работы с операционной системой и командной строкой Unix/Linux на уровне пользователя; Базовые знания по работе с системой контроля версий Git; Знания и опыт работы с Docker; Знание SQL на базовом уровне. ",120000,2024-02-05 00:00:00 +0700 +07,Москва,ФГАНУ Центр информационных технологий и систем органов исполнительной власти,,1-3,Полный день
Ведущий специалист по поддержке (BI),"ЕВРАЗ – глобальная горно-металлургическая компания. Лидер рынка стального проката. ЕвразТехника ИС (аккредитованная ИТ-компания) разрабатывает ИТ-системы для всех предприятий холдинга в России. Мы находимся в процессе цифровой трансформации, Работаем стабильно и активно расширяем команду разработки под инновационные и технологичные проекты. Ключевые задачи:   Сверка данных уровня BI и источниками данных;   Консультирование по разработке BI отчетов\дэшбордов на MS Power BI;   Помощь бизнесу в составлении функциональных требований, поиск оптимального быстрого решения   Сбор, уточнение требований на доработку отчетов для службы разработки;   Организация обучения пользователей с привлечением внутренних и внешних консультантов;   Эскалация заявок для службы разработки или подрядчиков по Power BI в соответствии с корпоративными стандартами.   Мы ожидаем, что у вас имеется:  Высшее образование (информационные технологии, техническое);  Навыки работы в Power BI;   Опыт написания запросов MS SQL;   Опыт консультирования по разработке BI отчетов\дэшбордов на MS Power BI.   Будет преимуществом:   Знание PL\SQL (T-SQL) на уровне написания запросов на выборку данных из БД;   Опыт работы с ПО GE Meridium APM.   Условия:  Официальное трудоустройство с первого рабочего дня и &quot;белая&quot; заработная плата; Команда профессионалов, в кругу которых ты не будешь брошен один на один с проблемой; Индивидуальный подход к профессиональному росту и развитию внутри компании; Возможность льготного оформления ДМС. ",0,2024-01-09 00:00:00 +0700 +07,Новосибирская область,ЕВРАЗ,Разработка BI;DWH;Microsoft Excel;SQL,1-3,Удаленная работа
"Аналитик данных команд разработки E-com, RideTech и FoodTech","Команда аналитики и контроля бюджета офлайн-сервисов обрабатывает данные о людях в Яндексе, выдвигает гипотезы, отслеживает изменения и осмысливает, как это всё влияет на бизнес в целом. Ищем сильного и проактивного коллегу. Вы будете отвечать за развитие аналитики в командах разработки Такси, Драйва, Самокатов, Маркета, Еды, Лавки и Доставки. Разработчики — основной и самый ценный капитал компании. Мы много думаем об их эффективности, о росте стажёров в самостоятельных разработчиков, о причинах текучести кадров, о командах в разных городах и странах, о релокации в хабы. Это лишь малая часть задач. Будет много исследований, гипотез, раскопок, выводов и экшен-планов. Какие задачи вас ждут:  анализировать данные, связанные с HR-процессами в IT-направлениях, выявлять закономерности и точки роста; готовить аналитические расчёты и визуализировать данные; участвовать в создании дашбордов: прорабатывать ТЗ и сценарии использования; общаться с внутренними заказчиками и топ-менеджерами; поддерживать и изменять созданные решения, следить за тем, чтобы данные для решений были доступными и корректными.  Мы ждём, что вы:  получили высшее техническое или экономическое образование; работали аналитиком данных более трёх лет; имеете опыт визуализации данных, навык создания презентаций; работали с большими неструктурированными массивами данных; превосходно владеете SQL и Excel; системно и аналитически мыслите, умеете понятно доносить свои идеи; готовы много общаться с коллегами и топ-менеджментом; любите учиться и развиваться, а также оптимизировать процессы вокруг; будет плюсом, если вы владеете Python для обработки данных. ",0,2024-01-09 00:00:00 +0700 +07,Москва,Яндекс,Microsoft Excel;Microsoft PowerPoint;Microsoft Power BI;SQL;Анализ данных;Научно-исследовательская работа;Аналитическое мышление;Публичные выступления и проведение презентаций;Создание презентационных материалов;Информационная грамотность,3-6,Полный день
Старший аналитик данных в Яндекс HR Tech,"Команда people-аналитики Яндекса ищет коллегу и друга, который будет помогать развивать аналитику в HR-департаменте, проверять гипотезы бизнеса с помощью данных и участвовать в разработке дашбордов.Вы будете сотрудничать с коллегами из других департаментов и нашими топ-менеджерами, много работать с большими данными, делать на их основе выводы и прогнозы, а в итоге влиять на настоящее и будущее всей компании. Вам предстоит исследовать экосистему аналитических продуктов по ключевым метрикам: найму, движению, обучению, вовлечённости и другим.Что нужно делать:  отвечать за подготовку аналитических расчётов и визуализацию данных; прорабатывать ТЗ и сценарии использования дашбордов; визуализировать метрики и данные с помощью BI-инструментов; консультировать внутренних заказчиков и топ-менеджеров; развивать хранилище DWH: описывать и проверять данные, транслировать логику.  Мы ждем, что вы:  окончили вуз по технической или экономической специальности; работали в роли аналитика данных больше трех лет; работали с большими неструктурированными массивами данных; уверенно владеете SQL и Python, включая NumPy и pandas; владеете Excel; системно и аналитически мыслите, умеете понятно доносить свои мысли; готовы учиться, развиваться и оптимизировать процессы вокруг.  Будет плюсом, если вы:  работали с HR-данными; работали с Tableau, Power BI, DataLens или другими BI-инструментами и готовы быстро изучить новые. ",0,2024-01-09 00:00:00 +0700 +07,Москва,Яндекс,Визуализация данных;Microsoft Excel;Python;Python;Microsoft Power BI;Microsoft Power BI;Python;QlikView;SQL;Tableau;Анализ данных;Аналитическое мышление;Управление базами данных,6-,Полный день
Стажер HR-аналитик,"МТС Digital - сердце цифровой экосистемы.Ищем стажера в команду Аналитики, который будет работать совместно с опытным наставником и помогать в подготовке отчетности по подбору, участвовать в сборе требований по разработке дашбордов и помогать в операционных задачах. Оформление по ДГПХ. Обязанности  дорабатывать и актуализировать дашборды по подбору; проводить сверку выходов кандидатов; анализировать эффективность подбора; участвовать в оптимизации и автоматизации отчетности; участвовать в подготовке аналитических отчетов; обеспечивать помощь в выгрузке данных и подготовке презентаций для тимлидов команд подбора и руководителя подбора  Требования  высшее экономическое или математическое образование (или студент старших курсов); умение структурировать данные посредством Excel (сводные таблицы, ВПР, макросы на базовом уровне); умение визуализировать результаты анализа (графики, презентации); желание погружаться в задачи и разбираться в деталях; базовые знания Power bi будут плюсом    Условия  Оформление по ДГПХ; Гибкий график работы; Развитие в командах профессионалов — коллеги и наставники всегда готовы делиться опытом; Непрерывное развитие — доступ к курсам и вебинарам корпоративного университета, а также к библиотеке с полезными книгами и периодикой. ",0,2024-02-28 00:00:00 +0700 +07,Москва,МТС,,0,Гибкий график
Аналитик данных,"В международную компанию с собственной digital-платформой игровой тематики требуется Аналитик данных.Обязанности:   Подготовка аналитической информации по запросам руководства (причины отклонений, сценарное моделирование и пр.)   Анализ процессов/продуктов, подготовка предложений по изменениям и улучшению результатов   Работа с большими массивами данных, базами данных (SQL) и последующее формирование автоматизированных аналитических отчётов и скрипов   Оптимизация и автоматизация существующих отчётов и процедур   Составление ТЗ для разработчиков, координация процесса разработки, тестирования, приемки и введения в эксплуатацию   Требования:   Знание SQL (любой диалект), Python (NumPy, Pandas), уверенный пользователь Excel   Опыт работы в аналитических подразделениях   Умение и любовь разбираться в неизвестном, делать предположения и находить разные источники информации   Условия:  Офисы в Москве и на Кипре; Полностью удаленная работа; Плавающий график работы; Предоставляем рабочую технику; Уровень заработной платы обсуждается по итогам интервью. ",0,2024-01-29 00:00:00 +0700 +07,Москва,Медиапоинт,Microsoft Power BI;Python;SQL;Анализ данных;Аналитическое мышление;Управление базами данных;Информационная грамотность;Информационная грамотность,1-3,Полный день
